name,address,area,city,pincode,phone,rating,reviews,category,dealer_type,source,source_url
Battery Wala.Com,"Crossing Republik, Ghaziabad",Crossing Republik,Delhi,201016,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Ghaziabad/Battery-WalaCom-Opposite-Divyansh-Fabio-Crossing-Republik/011PXX11-XX11-221202110338-T5C5_BZDET
Sharma Battery,"Near Indian Bank, Udyog Vihar Gurgaon, Gurgaon",Udyog Vihar Gurgaon,Delhi,122016,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Gurgaon/Sharma-Battery-Udyog-Vihar-Gurgaon/011PXX11-XX11-140819134047-V9D6_BZDET
R S Battery Wholesaler,"Sheetla Mata Road,Part -6, Gurgaon Sector 5, Gurgaon",Gurgaon Sector 5,Delhi,122001,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Gurgaon/R-S-Battery-Wholesaler-Opposite-Bharat-Petrol-Pump-Gurgaon-Sector-5/011PXX11-XX11-211111151724-N2B9_BZDET
Royal Batteries,"Parwana Road, Jagat Puri, Delhi",Jagat Puri,Delhi,110051,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Royal-Batteries-Opposite-292-Gagan-Vihar-Jagat-Puri/011PXX11-XX11-101215152501-I2U7_BZDET
Aalam Mart,"Kalindi Road, Jamia Nagar, Delhi",Jamia Nagar,Delhi,110025,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Aalam-Mart-Alam-Nahari-Jamia-Nagar/011PXX11-XX11-190402133942-W9N1_BZDET
Krishna Electrical,"Huda Market, Gurgaon, Gurgaon",Gurgaon,Delhi,122001,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Gurgaon/Krishna-Electrical-Near-Anshu-Dairy-Gurgaon/011PXX11-XX11-250821160524-R2V9_BZDET
Gujral Auto,"Noida Sector 15, Noida",Noida Sector 15,Delhi,201301,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Noida/Gujral-Auto-Near-Sangam-Gest-House-Noida-Sector-15/011PXX11-XX11-190903101658-V9Y4_BZDET
Roshni Electrical,"Milap Nagar., Uttam Nagar, Delhi",Uttam Nagar,Delhi,110059,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Roshni-Electrical-Near-Himalaya-Sagar-Uttam-Nagar/011PK019669_BZDET
Acr Power Solutions,"Near Tagri Gol Chakkar, Ghaziabad City, Ghaziabad",Ghaziabad City,Delhi,201009,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Ghaziabad/Acr-Power-Solutions-OPP-SHRI-RAGHUNATH-SINGH-INTER-COLLAGE-Ghaziabad-City/011PXX11-XX11-210605221505-A4J2_BZDET
Hari Om Enterprises,"Main Road New Kondli, Mayur Vihar Phase 3, Delhi",Mayur Vihar Phase 3,Delhi,110096,,,,Battery Dealers,battery,justdial,https://www.justdial.com/Delhi/Hari-Om-Enterprises-Near-Vanasthali-Public-School-Mayur-Vihar-Phase-3/011PXX11-XX11-151020120754-R1X8_BZDET
