name,address,area,city,pincode,phone,rating,reviews,category,dealer_type,source,source_url
Shree Balaji Repairing,"OPPOSITE Government Girl School BALLBHGARH NEAR AGGARWAL COLLAGE, Ballabhgarh Faridabad, Faridabad",Ballabhgarh Faridabad,Delhi,121004,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Faridabad/Shree-Balaji-Repairing-Bhikam-Colony-Ballabhgarh-Faridabad/011PXX11-XX11-241105143001-X5N5_BZDET
BHAN TECHNOLOGIES,"IMT Faridabad, Sector 68, Ballabhgarh Sector 68, Faridabad",Ballabhgarh Sector 68,Delhi,121004,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Faridabad/BHAN-TECHNOLOGIES-IMT-Faridabad-Ballabhgarh-Sector-68/011PXX11-XX11-130722014509-P7Q5_BZDET
Digitech Sales,"Pitampura, Delhi",Pitampura,Delhi,110034,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Delhi/Digitech-Sales-Pitampura/011PXX11-XX11-180627122746-N4N7_BZDET
Malik Battery & Inverter,"Loni Road, Loni, Ghaziabad",Loni,Delhi,201102,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Ghaziabad/Malik-Battery-Inverter-Near-Indirapuri-Police-Station-A-Block-Laxmi-Garden-Loni/011PXX11-XX11-200114164704-L9L4_BZDET
Smartek Solutions,"Vikaspuri, Delhi",Vikaspuri,Delhi,110018,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Delhi/Smartek-Solutions-Near-Patel-Homopethic-Vikaspuri/011PXX11-XX11-240330164849-N5A6_BZDET
Coslight India Telecom Pvt Ltd,"IMT Manesar, Gurgaon",IMT Manesar,Delhi,122052,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Gurgaon/Coslight-India-Telecom-Pvt-Ltd-Sector-IMT-Manesar/011PX124-X124-120321110012-A8R3_BZDET
Samco Rubber & Batteries,"Near Kashmere Gate, TIS Hazari, Delhi",TIS Hazari,Delhi,110054,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Delhi/Samco-Rubber-Batteries-TIS-Hazari/011PXX11-XX11-180903150919-R4N1_BZDET
Ev Workshop Delhi,"Main Khaira Road, Najafgarh, Delhi",Najafgarh,Delhi,110043,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Delhi/Ev-Workshop-Delhi-Opposite-Aman-Garden-Najafgarh/011PXX11-XX11-250124103831-Z1N3_BZDET
Sunmax Ev Charger,"Dabri Extension, Delhi",Dabri Extension,Delhi,110045,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Delhi/Sunmax-Ev-Charger-Dabri-Extension/011PXX11-XX11-250405001159-T7T5_BZDET
Np Green Electric Vehicle Pvt. Ltd,"Vikas Marg, Nirvana, Gurgaon",Nirvana,Delhi,122018,,,,Electric Vehicle Battery Charger Dealers,charger,justdial,https://www.justdial.com/Gurgaon/Np-Green-Electric-Vehicle-Pvt-Ltd-Nirvana/011PXX11-XX11-240925212359-S6A1_BZDET
Vegh Rb Enterprises,"Niwari Road Defence Colony, Niwari, Modinagar",Niwari,Delhi,201204,,,,EV Charging Station,charger,justdial,https://www.justdial.com/Modinagar/Vegh-Rb-Enterprises-Near-Police-Chowki-Niwari/011PXX11-XX11-231203122537-U6V6_BZDET
Malwa Automobiles Prashant Vihar Charging Station,"Rohini, Delhi",Rohini,Delhi,110085,,,,EV Charging Station,charger,justdial,https://www.justdial.com/Delhi/Malwa-Automobiles-Prashant-Vihar-Charging-Station-Rohini/011PXX11-XX11-240827190550-W9U6_BZDET
Autovikas Sales And Service (TATA Motors),"Mathura Road Faridabad, Faridabad",Mathura Road Faridabad,Delhi,121003,,,,EV Charging Station,charger,justdial,https://www.justdial.com/Faridabad/Autovikas-Sales-And-Service-TATA-Motors-Near-Ymca-Chowk-Mile-Stone-Sector-5-Mathura-Road-Faridabad/011PXX11-XX11-180801074624-K2Q8_BZDET
Sagar Motors Ev Charging Station,"Surajpur Kasna Road, Surajpur, Greater Noida",Surajpur,Delhi,201306,,,,EV Charging Station,charger,justdial,https://www.justdial.com/Greater-Noida/Sagar-Motors-Ev-Charging-Station-Near-Pari-Chowk-Surajpur/011PXX11-XX11-240827190614-A5V6_BZDET
Sethi Auto (Indian Oil),"N H N0 8 , Mahipalpur, Delhi",Mahipalpur,Delhi,110037,,,,EV Charging Station,charger,justdial,https://www.justdial.com/Delhi/Sethi-Auto-Indian-Oil-Mahipalpur/011PXX11-XX11-180824185813-U3E1_BZDET
Golden Goal Service Station (Indian Oil),"Road No 44, Pitampura, Delhi",Pitampura,Delhi,110034,,,,EV Charging Station,charger,justdial,https://www.justdial.com/Delhi/Golden-Goal-Service-Station-Indian-Oil-Near-Community-Centre-Pitampura/011PXX11-XX11-100702000829-D9W4_BZDET
City Auto (Indian Oil),"Hl Parwana Road, Rohini Sector 10, Delhi",Rohini Sector 10,Delhi,110085,,,,EV Charging Station,charger,justdial,https://www.justdial.com/Delhi/City-Auto-Indian-Oil-Near-Rohini-District-Centre-I-Rohini-Sector-10/011PK006171_BZDET
